Year,Month,Polling,Con,Lab,LD,Lab good,Govt good,Govt bad,Lab bad,Con good,Con bad,SDP,Green,Lab net,LD good,Con Best PM,Lab Best PM,LD Best PM,LD bad,Con net,M,F,M.1,F.1,M.2,F.2,UKIP good,UKIP bad,Grn good,Grn bad,UKIP Best PM,UKIP,TIG/CUK,BXP,LD net,CUK good,CUK bad,BXP good,BXP bad,BXP Best PM,BXP/Reform,Ukip,BXP/Ref good,BXP/Ref bad,Green Best PM,BXP/Ref Best PM
,May,Gallup,50.5,47.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,51.0,47.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,51.0,47.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50.0,47.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.0,Jun,Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,47.0,43.0,9.0,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,44.5,47.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,48.0,44.0,7.0,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,46.5,44.5,8.0,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,44.5,45.5,9.0,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,45.5,46.5,7.5,,44.0,40.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.0,Jan,Gallup,45.5,46.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
